Name,NPC Name,Size,Type,Tags/Lair,Alignment,Environment,Challenge,XP,Source,Page,Reference,SRD,Description
Deinonychus (Deathclaw),,Medium,Beast,dinosaur/behemoth,Unaligned,"Forest, Grassland, Hills",1,200,VGM,139,VGM139,,
Dire Wolf,,Large,Beast,,Unaligned,"Forest, Hills",1,200,MM,321,MM321,,"Larger, more primitive and more aggressive version of a gray wolf."
Dogmole,,Medium,Beast,,Neutral,"Forest, Hills, Mountain",1,200,TOB,120,TOB120,Y,
Dryad,,Medium,Fey,,Neutral,Forest,1,200,MM,121,MM121,Y,Fey protectors of wooded realms.
Duergar,,Medium,Humanoid,dwarf,Lawful Evil,Underdark,1,200,MM,122,MM122,Y,"Deep dwarves, ebon skinned and with a trace of diabolic ancestry."
Duergar Soulblade,,Medium,Humanoid,dwarf,Lawful Evil,Underdark,1,200,OOTA,227,OOTA227,,
Emerald Eye,,Tiny,Construct,,Chaotic Evil,Any,1,200,TOB,175,TOB175,Y,
Eonic Drifter,,Medium,Humanoid,human,Chaotic Neutral,Any,1,200,TOB,177,TOB177,Y,
Erina Defender,,Small,Humanoid,erina,Neutral,"Forest, Grassland, Hills",1,200,TOB,178,TOB178,Y,
Female Steeder,,Large,Beast,,Unaligned,Underdark,1,200,OOTA,231,OOTA231,,
Fire Snake,,Medium,Elemental,,Neutral Evil,Underdark,1,200,MM,265,MM265,,Fire elemental in the form of a snake-like creature.
Firenewt Warlock of Imix,,Medium,Humanoid,firenewt,Neutral Evil,"Desert, Hills, Mountain, Underdark",1,200,VGM,143,VGM143,,
Gerridae,,Large,Fey,,Neutral,Underwater,1,200,TOB,212,TOB212,Y,
Ghoul,,Medium,Undead,,Chaotic Evil,"Swamp, Underdark, Urban",1,200,MM,148,MM148,Y,"Monstrous, undead humanoids that eat flesh and have a paralytic touch."
Giant Eagle,,Large,Beast,,Neutral Good,"Coastal, Grassland, Hills, Mountain",1,200,MM,324,MM324,,Giant version of an eagle.
Giant Hyena,,Large,Beast,,Unaligned,"Desert, Forest, Grassland, Hills",1,200,MM,326,MM326,,Giant version of a hyena.
Giant Octopus,,Large,Beast,,Unaligned,Underwater,1,200,MM,326,MM326,,Giant version of an octopus.
Giant Spider,,Large,Beast,,Unaligned,"Desert, Forest, Swamp, Underdark, Urban",1,200,MM,328,MM328,,Giant version of a web-slinging spider.
Giant Strider,,Large,Monstrosity,,Neutral Evil,"Hills, Mountain, Underdark",1,200,VGM,143,VGM143,,
Giant Toad,,Large,Beast,,Unaligned,"Coastal, Desert, Forest, Underdark",1,200,MM,329,MM329,,Giant version of a toad.
Giant Vulture,,Large,Beast,,Neutral Evil,"Desert, Grassland",1,200,MM,329,MM329,,Giant version of a vulture.
Glass Gator,,Large,Beast,,Unaligned,"Swamp, Underwater",1,200,TOB,228,TOB228,Y,
Gnoll Flesh Gnawer,,Medium,Humanoid,gnoll,Chaotic Evil,"Arctic, Forest, Grassland, Hills",1,200,VGM,154,VGM154,,
Goblin Boss,,Small,Humanoid,goblinoid,Neutral Evil,"Forest, Grassland, Hills, Underdark",1,200,MM,166,MM166,,Tribal or familial leader of a goblin gang.
Grung Wildling,,Small,Humanoid,grung,Lawful Evil,Forest,1,200,VGM,157,VGM157,,
Guardian Portrait,,Medium,Construct,,Unaligned,Urban,1,200,COS,227,COS227,,
Half-ogre (Ogrillon),,Large,Giant,,Any chaotic,"Arctic, Desert, Forest, Hills, Mountain, Underdark, Urban",1,200,MM,238,MM238,,"Offspring of an ogre that breeds with an orc, human or rarely bugbears or gnolls."
Harpy,,Medium,Monstrosity,,Chaotic Evil,"Coastal, Forest, Hills, Mountain",1,200,MM,181,MM181,Y,Vulture-winged humanoids with an alluring song.
Hippogriff,,Large,Monstrosity,,Unaligned,"Grassland, Hills, Mountain",1,200,MM,184,MM184,Y,"Voracious and aggressive eagle-headed, winged horses."
Ice Toad,,Medium,Monstrosity,,Neutral,,1,200,ROT,90,ROT90,,
Imp,,Tiny,Fiend,"devil, shapechanger",Lawful Evil,Extraplanar (Lower Planes),1,200,MM,76,MM76,Y,Stinger-tailed fiends that often act as familiars to evil mages.
Kobold Dragonshield,,Small,Humanoid,kobold,Lawful Evil,"Forest, Hills, Mountain, Underdark",1,200,VGM,165,VGM165,,
Kobold Scale Sorcerer,,Small,Humanoid,kobold,Lawful Evil,"Forest, Hills, Mountain, Underdark, Urban",1,200,VGM,167,VGM167,,
Kobold Trapsmith,,Small,Humanoid,kobold,Lawful Neutral,"Underdark, Urban",1,200,TOB,264,TOB264,Y,
Kuo-toa Whip,,Medium,Humanoid,kuo-toa,Neutral Evil,Underdark,1,200,MM,200,MM200,,Divine spellcasters of the kuo-toa tribes.
Leshy,,Medium,Monstrosity,,Chaotic Neutral,Forest,1,200,TOB,272,TOB272,Y,
Lion,,Large,Beast,,Unaligned,"Desert, Grassland, Hills, Mountain",1,200,MM,331,MM331,,"Big, hunting felines."
Maw Demon,,Medium,Fiend,demon,Chaotic Evil,Underdark,1,200,VGM,137,VGM137,,
Moss Lurker,,Small,Humanoid,,Chaotic Neutral,"Forest, Swamp, Underdark",1,200,TOB,298,TOB298,Y,
Nihilethic Zombie,,Medium,Undead,,Neutral Evil,"Underdark, Underwater",1,200,TOB,9,TOB9,Y,
Nilbog,,Small,Humanoid,goblinoid,Chaotic Evil,"Forest, Underdark",1,200,VGM,182,VGM182,,
Quadrone,,Medium,Construct,,Lawful Neutral,Extraplanar (Mechanus),1,200,MM,226,MM226,,Cube-shaped modrons with mechanical limbs and flightless wings.
Quaggoth Spore Servant,,Medium,Plant,,Unaligned,Underdark,1,200,MM,230,MM230,,Dead quaggoth reanimated by myconid spores to serve those fungus-people.
Quasit,,Tiny,Fiend,"demon, shapechanger",Chaotic Evil,Extraplanar (Lower Planes),1,200,MM,63,MM63,Y,"Tiny fiendish familiars, the demon counterpart to the devilish imp."
Quickling,,Tiny,Fey,,Chaotic Evil,Forest,1,200,VGM,187,VGM187,,
Ratfolk Rogue,,Small,Humanoid,ratfolk,Neutral,"Underdark, Urban",1,200,TOB,320,TOB320,Y,
Rime Worm Grub,,Medium,Elemental,,Neutral,Extraplanar (Elemental),1,200,TOB,327,TOB327,Y,
Scarecrow,,Medium,Construct,,Chaotic Evil,Grassland,1,200,MM,268,MM268,,Magically animated constructs meant to guard locations of import.
Sea Spawn,,Medium,Humanoid,,Neutral Evil,"Coastal, Underwater",1,200,VGM,189,VGM189,,
Sharkjaw Skeleton,,Large,Undead,,Lawful Evil,Any,1,200,TOB,350,TOB350,Y,
Specter,,Medium,Undead,,Chaotic Evil,"Underdark, Urban",1,200,MM,279,MM279,Y,Spirit unable to pass to the afterlife and consumed by anger.
Strahd Zombie,,Medium,Undead,,Unaligned,Urban,1,200,COS,241,COS241,,
Swarm of Quippers,,Medium,Beast,,Unaligned,Underwater,1,200,MM,338,MM338,,"Swarm of vicious, pirahna-like fish."
Thorny,,Medium,Plant,,Neutral,"Forest, Swamp",1,200,VGM,197,VGM197,,
Thri-kreen,,Medium,Humanoid,thri-kreen,Chaotic Neutral,"Desert, Grassland",1,200,MM,288,MM288,,"Intelligent, multi-armed insect folk."
Tiger,,Large,Beast,,Unaligned,"Forest, Grassland",1,200,MM,339,MM339,,Big hunter cat with orange fur sporting black stripes.
Vargouille,,Tiny,Fiend,,Chaotic Evil,"Desert, Swamp, Underdark",1,200,VGM,195,VGM195,,
Wampus Cat,,Medium,Monstrosity,,Chaotic Neutral,"Forest, Hills",1,200,TOB,405,TOB405,Y,
Wind Dragon Wyrmling,,Medium,Dragon,,Chaotic Neutral,"Grassland, Hills, Mountain",1,200,TOB,145,TOB145,Y,
Xvart Warlock of Raxivort,,Small,Humanoid,xvart,Chaotic Evil,"Hills, Underdark",1,200,VGM,200,VGM200,,
Young Faerie Dragon,,Tiny,Dragon,,Chaotic Good,Forest,1,200,MM,133,MM133,,"Tiny, butterfly-winged dragons allied with fey races."
Yuan-ti Pureblood,,Medium,Humanoid,yuan-ti,Neutral Evil,"Desert, Forest, Swamp, Urban",1,200,MM,310,MM310,,Lowest-caste yuan-ti that appear as humans with a minor snake-like trait.
Zanskaran Viper,,Large,Beast,,Unaligned,Swamp,1,200,TOB,354,TOB354,Y,
Adherer,,Medium,Aberration,,Lawful Evil,"Forest, Underdark",2,450,FEF,6,FEF6,,
Adult Faerie Dragon,,Tiny,Dragon,,Chaotic Good,Forest,2,450,MM,133,MM133,,"Tiny, butterfly-winged dragons allied with fey races."
Allosaurus (Bloodmaw),,Large,Beast,dinosaur/behemoth,Unaligned,Grassland,2,450,MM,79,MM79,,Large hunter dinosaur known for chasing down and pouncing on prey.
Ankheg,,Large,Monstrosity,,Unaligned,"Forest, Grassland",2,450,MM,21,MM21,Y,Burrowing insectoid monstrosities.
Anubian,,Medium,Elemental,,Chaotic Evil,Any,2,450,TOB,24,TOB24,Y,
Aurochs,,Large,Beast,,Unaligned,"Grassland, Hills, Mountain",2,450,VGM,207,VGM207,,
Awakened Tree,,Huge,Plant,,Unaligned,Forest,2,450,MM,317,MM317,,Tree that has gained sentience through magical enchantment.
Awakened Zurkhwood,,Huge,Plant,,Unaligned,Underdark,2,450,OOTA,230,OOTA230,,
Azer,,Medium,Elemental,,Lawful Neutral,Extraplanar (Elemental),2,450,MM,22,MM22,Y,Elemental forgers and gem-crafters.
Behtu,,Small,Humanoid,,Chaotic Evil,Forest,2,450,TOB,34,TOB34,Y,
Beli,,Small,Fey,,Neutral Evil,Any,2,450,TOB,35,TOB35,Y,
Black Dragon Wyrmling,,Medium,Dragon,,Chaotic Evil,Swamp,2,450,MM,88,MM88,Y,Chromatic dragons that breathe acid.
Bronze Dragon Wyrmling,,Medium,Dragon,,Lawful Good,Coastal,2,450,MM,109,MM109,Y,"Highly social, noble metallic dragons."
Carrion Crawler,,Large,Monstrosity,,Unaligned,Underdark,2,450,MM,37,MM37,,Centipede-like wall-crawlers that hunt out carrion and flesh.
Cave Bear,,Large,Beast,,Unaligned,Underdark,2,450,MM,334,MM334,,Big bears that live in caves.
Cave Dragon Wyrmling,,Medium,Dragon,,Neutral Evil,Underdark,2,450,TOB,127,TOB127,Y,
Centaur,,Large,Monstrosity,,Neutral Good,"Forest, Grassland",2,450,MM,38,MM38,Y,"Half-man, half-horse, they wander the wilderness and protect it."
Chamberlain of Zuggtmoy,,Large,Plant,,Chaotic Evil,Underdark,2,450,OOTA,230,OOTA230,,
Clockwork Hound,,Medium,Construct,,Unaligned,"Forest, Urban",2,450,TOB,62,TOB62,Y,
Cobbleswarm,,Medium,Monstrosity,,Unaligned,"Underdark, Urban",2,450,TOB,68,TOB68,Y,
Darkling Elder,,Medium,Fey,,Chaotic Neutral,"Forest, Swamp, Underdark, Urban",2,450,VGM,134,VGM134,,
Deep One,,Medium,Humanoid,deep one,Chaotic Evil,Underwater,2,450,TOB,73,TOB73,Y,
Derro Rogue,reference Droki,Small,Humanoid,derro,Chaotic Evil,Underdark,2,450,OOTA,231,OOTA231,,
Derro Warlock,reference Narrak,Small,Humanoid,derro,Chaotic Evil,Underdark,2,450,OOTA,232,OOTA232,,
Doppelrat,,Tiny,Monstrosity,,Unaligned,"Underdark, Urban",2,450,TOB,123,TOB123,Y,
Duergar Darkhaft,,Medium,Humanoid,dwarf,Lawful Evil,Underdark,2,450,OOTA,226,OOTA226,,
Duergar Kavalrachni,,Medium,Humanoid,dwarf,Lawful Evil,Underdark,2,450,OOTA,226,OOTA226,,
Duergar Keeper of the Flame,,Medium,Humanoid,dwarf,Lawful Evil,Underdark,2,450,OOTA,226,OOTA226,,
Duergar Stone Guard,,Medium,Humanoid,dwarf,Lawful Evil,Underdark,2,450,OOTA,227,OOTA227,,
Duergar Xarrorn,,Medium,Humanoid,dwarf,Lawful Evil,Underdark,2,450,OOTA,228,OOTA228,,
Eala,,Small,Monstrosity,,Unaligned,Any,2,450,TOB,163,TOB163,Y,
Eel Hound,,Medium,Fey,,Neutral,Underwater,2,450,TOB,166,TOB166,Y,
Ettercap,,Medium,Monstrosity,,Neutral Evil,Forest,2,450,MM,131,MM131,Y,"Bestial, spider-like humanoids."
Firegeist,,Small,Elemental,,Neutral Evil,Any,2,450,TOB,202,TOB202,Y,
Flying Ape,,Large,Monstrosity,,Chaotic Neutral,Forest,2,450,FEF,12,FEF12,,
Folk of Leng,,Medium,Humanoid,,Neutral Evil,Any,2,450,TOB,204,TOB204,Y,
Gargoyle,,Medium,Elemental,,Chaotic Evil,"Underdark, Urban",2,450,MM,140,MM140,Y,"Winged, statue-like elemental guardians."
Gelatinous Cube,,Large,Ooze,,Unaligned,Underdark,2,450,MM,242,MM242,Y,"Cube-shaped oozes that slide along corridors, eating everything."
Ghast,,Medium,Undead,,Chaotic Evil,"Swamp, Underdark, Urban",2,450,MM,148,MM148,Y,"Advanced, more cunning version of ghouls."
Giant Ant,,Large,Beast,,Unaligned,Any,2,450,TOB,23,TOB23,Y,
Giant Boar,,Large,Beast,,Unaligned,"Forest, Grassland, Hills",2,450,MM,323,MM323,,"Giant version of a wild, tusked pig."
Giant Constrictor Snake,,Huge,Beast,,Unaligned,"Desert, Forest, Swamp, Underdark, Underwater",2,450,MM,324,MM324,,Giant version of a snake that likes to entangle and crush its prey.
Giant Elk,,Huge,Beast,,Unaligned,"Forest, Grassland, Hills, Mountain",2,450,MM,325,MM325,,"An elk, but humongously sized."
Gibbering Mouther,,Medium,Aberration,,Neutral,Underdark,2,450,MM,157,MM157,Y,An amorphous blob of eyes and babbling mouths that feasts on flesh.
Githzerai Monk,,Medium,Humanoid,gith,Lawful Neutral,Extraplanar (Limbo),2,450,MM,161,MM161,,Disciplined aesthetic of the gith.
Gnoll Pack Lord,,Medium,Humanoid,gnoll,Chaotic Evil,"Desert, Forest, Grassland, Hills",2,450,MM,163,MM163,,Chieftain or sub-chief of the gnolls.
Gray Thirster,,Medium,Undead,,Neutral Evil,Desert,2,450,TOB,238,TOB238,Y,
Green Dragon Wyrmling,,Medium,Dragon,,Lawful Evil,Forest,2,450,MM,95,MM95,Y,Chromatic dragon with green scales and noxious gas breath.
Grick,,Medium,Monstrosity,,Neutral,"Forest, Underdark",2,450,MM,173,MM173,Y,"Tentacle-faced, beak-mouthed snake like creature."
Griffon,,Large,Monstrosity,,Unaligned,"Arctic, Coastal, Grassland, Hills, Mountain",2,450,MM,174,MM174,Y,Flying eagle-lion hybrid.
Grung Elite Warrior,,Small,Humanoid,grung,Lawful Evil,Forest,2,450,VGM,157,VGM157,,
Guard Drake,,Medium,Dragon,,Unaligned,,2,450,HDQ,91,HDQ91,,
Guard Drake,,Medium,Dragon,,Unaligned,Urban,2,450,VGM,158,VGM158,,
"Guard drake, black",,Medium,Dragon,,Unaligned,"Swamp, Urban",2,450,VGM,158,VGM158,,
"Guard drake, blue",,Medium,Dragon,,Unaligned,"Desert, Urban",2,450,VGM,158,VGM158,,
"Guard drake, green",,Medium,Dragon,,Unaligned,"Forest, Urban",2,450,VGM,158,VGM158,,
"Guard drake, red",,Medium,Dragon,,Unaligned,"Mountain, Underdark, Urban",2,450,VGM,158,VGM158,,
"Guard drake, white",,Medium,Dragon,,Unaligned,"Arctic, Urban",2,450,VGM,158,VGM158,,
Hobgoblin Iron Shadow,,Medium,Humanoid,goblinoid,Lawful Evil,"Forest, Grassland, Hills",2,450,VGM,162,VGM162,,
Hunter Shark,,Large,Beast,,Unaligned,Underwater,2,450,MM,330,MM330,,"Solitary, 15 foot long shark."
Ink Devil,,Small,Fiend,devil,Lawful Evil,Extraplanar (Baator),2,450,TOB,107,TOB107,Y,
Intellect Devourer,,Tiny,Aberration,,Lawful Evil,Underdark,2,450,MM,191,MM191,,Mind flayer-bred brains with bestial claws that feed on sentience.
Kobold Alchemist,,Small,Humanoid,kobold,Lawful Neutral,"Underdark, Urban",2,450,TOB,261,TOB261,Y,
Kot Bayun,,Medium,Monstrosity,,Neutral,"Hills, Mountain, Underdark",2,450,TOB,268,TOB268,Y,
Lizardfolk Shaman,,Medium,Humanoid,lizardfolk,Neutral,"Forest, Swamp",2,450,MM,205,MM205,,Swamp-dwelling lizardy humanoid tribal spellcasters.
Meenlock,,Small,Fey,,Neutral Evil,"Forest, Swamp, Urban",2,450,VGM,170,VGM170,,
Merrow,,Large,Monstrosity,,Chaotic Evil,"Coastal, Underwater",2,450,MM,219,MM219,Y,"Ogre-descended, Demogorgon-tainted aquatic humanoids with fishtails."
Mimic,,Medium,Monstrosity,shapechanger,Neutral,"Underdark, Urban",2,450,MM,220,MM220,Y,"Hungry monsters that can appear as normal dungeon dressing, like treasure chests."
Minotaur Skeleton,,Large,Undead,,Lawful Evil,Underdark,2,450,MM,273,MM273,Y,The reanimated skeleton of a bull-headed humanoid.
Myconid Sovereign,,Large,Plant,,Lawful Neutral,Underdark,2,450,MM,232,MM232,,Fungi people that can reanimate bodies with spores to create zombie-like servants.
Myling,,Small,Undead,,Chaotic Evil,Any,2,450,TOB,301,TOB301,Y,
Noctiny,,Medium,Humanoid,noctiny,Neutral Evil,Any,2,450,TOB,308,TOB308,Y,
Nothic,,Medium,Aberration,,Neutral Evil,Underdark,2,450,MM,236,MM236,,Cyclopean humanoid beasts who can see fear and inflict rotting with their gaze.
Ochre Jelly,,Large,Ooze,,Unaligned,Underdark,2,450,MM,243,MM243,Y,"Yellowish ooze that forms tentacle-like pseudopods to attack, and can split into more."
Ogre,,Large,Giant,,Chaotic Evil,"Arctic, Coastal, Desert, Forest, Grassland, Hills, Mountain, Swamp, Underdark",2,450,MM,237,MM237,Y,
Ogre Zombie,,Large,Undead,,Neutral Evil,"Arctic, Coastal, Desert, Forest, Grassland, Hills, Mountain, Swamp, Underdark",2,450,MM,316,MM316,Y,
Orc Claw of Luthic,,Medium,Humanoid,orc,Chaotic Evil,"Mountain, Underdark",2,450,VGM,183,VGM183,,
Orc Eye of Gruumsh,,Medium,Humanoid,orc,Chaotic Evil,"Arctic, Forest, Grassland, Hills, Mountain, Swamp, Underdark",2,450,MM,247,MM247,,
Orc Hand of Yurtrus,,Medium,Humanoid,orc,Chaotic Evil,"Forest, Grassland, Hills, Mountain, Underdark",2,450,VGM,184,VGM184,,
Orog,,Medium,Humanoid,orc,Chaotic Evil,"Arctic, Forest, Grassland, Hills, Mountain, Underdark",2,450,MM,247,MM247,,
Paper Drake,,Small,Dragon,,Neutral,Urban,2,450,TOB,154,TOB154,Y,
Pegasus,,Large,Celestial,,Chaotic Good,"Forest, Grassland, Hills",2,450,MM,250,MM250,Y,
Pentadrone,,Large,Construct,,Lawful Neutral,Extraplanar (Mechanus),2,450,MM,226,MM226,,
Peryton,,Medium,Monstrosity,,Chaotic Evil,"Hills, Mountain",2,450,MM,251,MM251,,
Plesiosaurus (Leviathan),,Large,Beast,dinosaur/behemoth,Unaligned,"Coastal, Underwater",2,450,MM,80,MM80,Y,
Polar Bear,,Large,Beast,,Unaligned,Arctic,2,450,MM,334,MM334,,
Poltergeist,,Medium,Undead,,Chaotic Evil,"Underdark, Urban",2,450,MM,279,MM279,,
Purple Wormling,,Large,Monstrosity,,Unaligned,,2,450,SKT,242,SKT242,,
Putrid Haunt,,Medium,Undead,,Neutral Evil,Swamp,2,450,TOB,315,TOB315,Y,
Quaggoth,,Medium,Humanoid,quaggoth,Chaotic Neutral,Underdark,2,450,MM,256,MM256,,
Quetzalcoatlus (Pholux),,Huge,Beast,dinosaur/behemoth,Unaligned,"Coastal, Hills, Mountain",2,450,VGM,140,VGM140,,
Rhinoceros,,Large,Beast,,Unaligned,Grassland,2,450,MM,336,MM336,,
Roachling Lord,,Small,Humanoid,roachling,Chaotic Neutral,"Underdark, Urban",2,450,TOB,329,TOB329,Y,
Rug of Smothering,,Large,Construct,,Unaligned,Urban,2,450,MM,20,MM20,Y,A rug that has been given enough life to strangle interlopers.
Saber-toothed Tiger,,Large,Beast,,Unaligned,"Arctic, Mountain",2,450,MM,336,MM336,,
Sahuagin Priestess,,Medium,Humanoid,sahuagin,Lawful Evil,"Coastal, Underwater",2,450,MM,264,MM264,,
Sea Dragon Wyrmling,,Medium,Dragon,,Neutral Evil,Underwater,2,450,TOB,136,TOB136,Y,
Sea Hag,,Medium,Fey,,Chaotic Evil,"Coastal, Underwater",2,450,MM,179,MM179,Y,
Shadhavar,,Large,Monstrosity,,Neutral,Any,2,450,TOB,344,TOB344,Y,
Shadow Mastiff,,Medium,Monstrosity,,Neutral Evil,"Forest, Hills, Swamp",2,450,VGM,190,VGM190,,
Shadow Mastiff Alpha,,Medium,Monstrosity,,Neutral Evil,"Forest, Hills, Swamp",2,450,VGM,190,VGM190,,
Shellycoat,,Medium,Fey,,Neutral Evil,Underdark,2,450,TOB,346,TOB346,Y,
Siabhra (Vile Barber),,Small,Fey,,Chaotic Evil,Any,2,450,TOB,401,TOB401,Y,
Silver Dragon Wyrmling,,Medium,Dragon,,Lawful Good,"Mountain, Urban",2,450,MM,118,MM118,Y,
Spider Thief,,Small,Construct,,Unaligned,,2,450,TOB,366,TOB366,Y,
Spined Devil,,Small,Fiend,devil,Lawful Evil,Extraplanar (Baator),2,450,MM,78,MM78,,
Swarm of Poisonous Snakes,,Medium,Beast,,Unaligned,"Forest, Swamp",2,450,MM,338,MM338,,
Tendril Puppet,,Medium,Plant,,Lawful Neutral,Forest,2,450,TOB,403,TOB403,Y,
Tosculi Warrior,,Small,Monstrosity,,Lawful Evil,"Desert, Grassland, Hills",2,450,TOB,386,TOB386,Y,
Uraeus,,Tiny,Celestial,,Lawful Neutral,Extraplanar (Upper Planes),2,450,TOB,392,TOB392,Y,
Uthgardt Shaman,,Medium,Humanoid,human,Neutral Evil,,2,450,SKT,243,SKT243,,
Vampiric Ixitxachitl,,Medium,Aberration,,Chaotic Evil,Underdark,2,450,OOTA,226,OOTA226,,
Vampiric Ixitxachitl Cleric,,Medium,Aberration,,Chaotic Evil,Underdark,2,450,OOTA,226,OOTA226,,
Vegepygmy Chief,,Small,Plant,,Neutral,"Forest, Swamp",2,450,VGM,197,VGM197,,
Void Dragon Wyrmling,,Medium,Dragon,,Chaotic Neutral,Mountain,2,450,TOB,140,TOB140,Y,
Warrior Amphoron of Yothri,,Medium,Construct,,Neutral,Any,2,450,FEF,10,FEF10,,
Wererat,,Medium,Humanoid,"human, shapechanger",Lawful Evil,"Forest, Urban",2,450,MM,209,MM209,Y,
Wereraven,,Medium,Humanoid,"human, shapechanger",Lawful Good,,2,450,COS,242,COS242,,
White Dragon Wyrmling,,Medium,Dragon,,Chaotic Evil,Arctic,2,450,MM,102,MM102,Y,
Will-o-wisp,,Tiny,Undead,,Chaotic Evil,"Forest, Swamp, Urban",2,450,MM,301,MM301,Y,
Yuan-ti Broodguard,,Medium,Humanoid,yuan-ti,Neutral Evil,"Desert, Forest, Underdark",2,450,VGM,203,VGM203,,
Algoid,,Medium,Plant,,Neutral,Swamp,3,700,FEF,8,FEF8,,
Alseid Grovekeeper,,Medium,Monstrosity,,Chaotic Neutral,,3,700,TOB,15,TOB15,Y,
Amphiptere,,Medium,Beast,,Unaligned,Forest,3,700,TOB,16,TOB16,Y,
Ankylosaurus (Macetail),,Huge,Beast,dinosaur/behemoth,Unaligned,Grassland,3,700,MM,79,MM79,,
Aranea,,Large,Monstrosity,shapechanger,Chaotic Evil,"Forest, Underdark",3,700,FEF,13,FEF13,,
Arboreal Grappler,,Medium,Aberration,,Neutral Evil,Forest,3,700,TOB,25,TOB25,Y,
Ascomoid,,Large,Plant,,Unaligned,Underdark,3,700,FEF,16,FEF16,,
Bagiennik,,Medium,Aberration,,Chaotic Neutral,"Forest, Swamp",3,700,TOB,31,TOB31,Y,
Basilisk,,Medium,Monstrosity,,Unaligned,Mountain,3,700,MM,24,MM24,Y,A ponderous lizard monster with a petrifying gaze.
Bearded Devil,,Medium,Fiend,devil,Lawful Evil,Extraplanar (Baator),3,700,MM,70,MM70,Y,
Bearfolk,,Medium,Humanoid,bearfolk,Chaotic Good,Forest,3,700,TOB,33,TOB33,Y,
Blue Dragon Wyrmling,,Medium,Dragon,,Lawful Evil,"Coastal, Desert",3,700,MM,91,MM91,Y,
Bugbear Chief,,Medium,Humanoid,goblinoid,Chaotic Evil,"Forest, Grassland, Underdark",3,700,MM,33,MM33,,The biggest and baddest bully of a bugbear tribe.
Bullywug Shaman,reference Pharblex Spattergoo,Medium,Humanoid,bullywug,Chaotic Evil,,3,700,HDQ,91,HDQ91,,
Cactid,,Large,Plant,,Unaligned,Desert,3,700,TOB,50,TOB50,Y,
Cave Fisher (Volo's Guide to Monsters version),,Medium,Monstrosity,,Unaligned,Underdark,3,700,VGM,130,VGM130,,
Choldrith,,Medium,Monstrosity,,Chaotic Evil,Underdark,3,700,VGM,132,VGM132,,
Clockwork Beetle Swarm,,Large,Construct,,Neutral,Any,3,700,TOB,61,TOB61,Y,
Clockwork Huntsman,,Medium,Construct,,Unaligned,"Forest, Urban",3,700,TOB,63,TOB63,Y,
Crimson Basilisk,,Medium,Monstrosity,,Unaligned,Underdark,3,700,FEF,21,FEF21,,
Darakhul Ghoul,,Medium,Undead,,Neutral Evil,Underdark,3,700,TOB,216,TOB216,Y,
Deep Scion,,Medium,Humanoid,shapechanger,Neutral Evil,"Coastal, Underwater",3,700,VGM,135,VGM135,,
Derro Savant,,Small,Humanoid,derro,Chaotic Evil,Underdark,3,700,OOTA,225,OOTA225,,
Displacer Beast,,Large,Monstrosity,,Lawful Evil,Forest,3,700,MM,81,MM81,,
Doombat,,Large,Monstrosity,,Unaligned,Underdark,3,700,FEF,23,FEF23,,
Doppelganger,,Medium,Monstrosity,shapechanger,Neutral,"Underdark, Urban",3,700,MM,82,MM82,Y,
Duskthorn Dryad,,Medium,Fey,,Chaotic Neutral,Forest,3,700,TOB,160,TOB160,Y,
Far Darrig,,Small,Fey,,Neutral,"Forest, Grassland",3,700,TOB,179,TOB179,Y,
Flail Snail,,Large,Elemental,,Unaligned,"Forest, Swamp, Underdark",3,700,VGM,144,VGM144,,
Flame Dragon Wyrmling,,Medium,Dragon,,Chaotic Evil,"Mountain, Underdark",3,700,TOB,131,TOB131,Y,
Giant Scorpion,,Large,Beast,,Unaligned,Desert,3,700,MM,327,MM327,,
Githyanki Warrior,,Medium,Humanoid,gith,Lawful Evil,Extraplanar (Astral),3,700,MM,160,MM160,,
Gnoll Havoc Runner,,Medium,Humanoid,gnoll,Chaotic Evil,"Desert, Grassland",3,700,TOB,230,TOB230,Y,
Goat-Man,,Medium,Monstrosity,,Chaotic Evil,"Forest, Hills",3,700,TOB,231,TOB231,Y,
Gold Dragon Wyrmling,,Medium,Dragon,,Lawful Good,"Forest, Grassland",3,700,MM,115,MM115,Y,
Green Hag,,Medium,Fey,,Neutral Evil,"Forest, Hills, Swamp",3,700,MM,177,MM177,Y,
Grell,,Medium,Aberration,,Neutral Evil,Underdark,3,700,MM,172,MM172,,
Hell Hound,,Medium,Fiend,,Lawful Evil,"Mountain, Underdark",3,700,MM,182,MM182,Y,
Hobgoblin Captain,,Medium,Humanoid,goblinoid,Lawful Evil,"Desert, Forest, Grassland, Hills, Underdark",3,700,MM,186,MM186,,
Hook Horror,,Large,Monstrosity,,Neutral,Underdark,3,700,MM,189,MM189,,
Hook Horror Spore Servant,,Medium,Plant,,Unaligned,Underdark,3,700,OOTA,229,OOTA229,,
Imy-ut Ushabti,,Medium,Monstrosity,,Neutral,Any,3,700,TOB,256,TOB256,Y,
J'ba Fofi Spider,,Large,Beast,,Unaligned,Forest,3,700,TOB,362,TOB362,Y,
Jaculus,,Small,Dragon,,Neutral Evil,Forest,3,700,TOB,258,TOB258,Y,
Killer Whale,,Huge,Beast,,Unaligned,Underwater,3,700,MM,331,MM331,,
Kuo-toa Monitor,,Medium,Humanoid,kuo-toa,Neutral Evil,Underdark,3,700,MM,198,MM198,,
